tb_displayname,log_datetime,log_date,tb_name,PowActNet_max,PowActNet_avg,Reactive_Power_min,Wind_Speed_min,Wind_Speed_max,Wind_Speed_Avg,Produced_Energy,Gea_BeaTem1_max,Gea_BeaTem_avg,Gea_BeaTem2_max,Gea_BeaTem2_avg,Gen_BeaDe_tem_max,Gen_BeaDe_Tem_avg,Gen_BeaNdeTem_max,Gen_BeaNdeTem_avg,Gea_BeaTem3_max,Gea_BeaTem3_ave,Con_LscIgbTemFilMax_max,Con_LscIgbTemFilMax_ave,Con_GscIgbTemFilMax_max,Con_GscIgbTemFilMax_ave,PlcInf_PowCrvVld_min
GGM107,01-12-2024 06:50,01-12-2024,GGM107,1731.730225,1494.927002,34.97314453,7.190000057,12.13000011,9.374974251,249.2789001,52.36103058,52.20991898,61.36193466,61.17528534,52.68808746,52.18387222,54.44527054,53.27361298,65.33860016,65.05445862,58,54.58853912,48,44.66050339,3
GGM107,01-12-2024 07:00,01-12-2024,GGM107,1790.462402,1524.364624,38.0859375,6.949999809,13.17000008,9.514719009,254.2723846,52.51223755,52.38357544,61.60948181,61.49882507,52.92844009,52.49533081,54.89740753,53.30937576,65.70706177,65.37670898,58,54.84413147,49,44.8591156,3
GGM107,01-12-2024 07:10,01-12-2024,GGM107,1745.920898,1517.853027,25.63476563,6.820000172,12.03999996,9.430728912,252.7225342,52.7024498,52.55691147,61.84801865,61.71820831,53.15061188,52.81505966,54.3635788,53.41906738,65.92163849,65.6783371,59,54.87704468,49,44.94361115,3
GGM107,01-12-2024 07:20,01-12-2024,GGM107,1640.526367,1462.838867,51.63574219,6.309999943,12.06000042,9.138005257,244.0100098,52.81378937,52.67576599,61.95964432,61.88568115,53.43997574,53.04129791,54.54455185,53.51305771,65.97717285,65.83234406,58,54.4487915,49,44.5888443,3
GGM107,01-12-2024 07:30,01-12-2024,GGM107,1665.03125,1471.989746,21.97265625,6.650000095,12.10999966,9.164524078,245.0862885,52.89889145,52.78544235,62.09846115,62.01478958,53.59012985,53.23526001,54.9189949,53.74671936,66.15139008,65.91064453,58,54.61528015,49,44.66449738,3
GGM107,01-12-2024 07:40,01-12-2024,GGM107,1660.57251,1434.568359,24.35302734,6.690000057,12.72999954,9.004197121,239.3338165,52.95170212,52.86527252,62.16444397,62.11367416,53.74066162,53.41427612,54.79305267,53.75300217,66.21939087,65.95966339,58,54.34981537,48,44.41924667,3
GGM107,01-12-2024 07:50,01-12-2024,GGM107,1664.318726,1461.48584,36.07177734,6.53000021,12.28999996,9.011874199,243.6621704,53.04087448,52.93870163,62.22606277,62.16542816,53.823246,53.53512955,55.00570297,53.8095665,66.27053833,66.0291748,58,54.61063004,48,44.68660355,3
GGM107,01-12-2024 08:00,01-12-2024,GGM107,1541.843506,1346.19043,7.507324219,6.230000019,11.10000038,8.716474533,224.2528839,53.09485245,52.98843765,62.23654175,62.19545364,54.00424194,53.65850067,54.8241806,53.84495544,66.28229523,66.09066772,57,54.00533676,48,44.23511887,3
GGM107,01-12-2024 08:10,01-12-2024,GGM107,1449.336182,1252.533081,-1.647949219,6.659999847,10.14999962,8.434145927,208.6165161,53.06807709,52.96442032,62.21643829,62.18831635,53.95640182,53.64123154,55.26934052,53.96925354,66.12180328,65.96448517,57,53.31103897,48,43.55003357,3
GGM107,01-12-2024 08:20,01-12-2024,GGM107,1297.242065,1087.539063,-36.98730469,5.950000286,10.68000031,8.102615356,181.3773956,52.95272827,52.73600388,62.20425415,62.06354904,54.13050461,53.82002258,55.26497269,53.93257904,66.22608185,65.78549194,56,51.96419144,47,41.4528656,3
GGM107,01-12-2024 08:30,01-12-2024,GGM107,1076.910034,1001.773682,-49.8046875,6.119999886,9.890000343,7.973356724,166.878891,52.63141251,52.48154831,61.89112854,61.65421677,54.21171951,53.77357101,55.35532379,53.87957764,65.75190735,65.29359436,55,52.04969025,45,41.09354782,3
GGM107,01-12-2024 08:40,01-12-2024,GGM107,1041.37439,871.9755859,-74.34082031,5.590000153,9.430000305,7.633598328,145.4019318,52.41921997,52.29510117,61.43003082,61.12251282,53.64687347,53.30276108,54.73868942,53.65288925,65.30089569,64.76120758,54,52.47759628,43,41.58121109,3
GGM107,01-12-2024 08:50,01-12-2024,GGM107,943.9332275,796.9365845,-95.94726563,5.420000076,9.75,7.415062428,132.8448944,52.24617004,52.10005569,60.80416107,60.53833771,53.18657303,52.71249008,54.15120316,53.36247635,64.60824585,64.18782043,52,50.48325348,41,39.33411026,3
GGM107,01-12-2024 09:00,01-12-2024,GGM107,903.508606,717.9714355,-100.7080078,5.519999981,9.670000076,7.314376831,119.5223007,52.01547623,51.83097076,60.2322731,59.94869614,52.57725525,52.05992126,53.97420502,52.91168213,64.05878448,63.75233078,54,51.57834244,43,40.65542984,3
GGM107,01-12-2024 09:10,01-12-2024,GGM107,941.1728516,707.5214844,-111.5112381,5.150000095,9.770000458,7.247650146,117.9988632,51.72005844,51.55151749,59.66783905,59.44351959,51.80099106,51.34855652,53.62036133,52.67887497,63.8863945,63.53385544,52,50.41006088,41,39.27781296,3
GGM107,01-12-2024 09:20,01-12-2024,GGM107,960.0802612,682.8366699,-116.8212891,4.380000114,9.81000042,6.99311161,113.863121,51.52403641,51.31758881,59.2591095,59.01180267,51.11594772,50.78239059,53.08944321,52.41572571,64.48069,63.32825851,54,51.7772789,43,40.93070221,3
GGM107,01-12-2024 09:30,01-12-2024,GGM107,904.1672363,609.6322632,-124.6948318,4.880000114,8.829999924,6.711495876,101.5543518,51.80965042,51.6255722,59.57853317,59.37995529,50.68635559,50.35088348,53.51703262,52.29372787,65.08500671,63.90292358,52,50.09688187,41,39.02767944,3
GGM107,01-12-2024 09:40,01-12-2024,GGM107,621.9255981,383.5604248,-133.4838867,4.090000153,8.219999313,6.297289371,63.9160881,51.71944427,51.53689194,59.43034744,59.06719589,50.95132065,50.42303085,53.2213707,52.14124298,63.43576431,61.39690399,53,50.01400375,45,40.65894318,3
GGM107,01-12-2024 09:50,01-12-2024,GGM107,464.8508911,350.2758789,-129.2724609,3.942857265,8.93999958,6.284947872,58.39876938,51.54740143,51.39187622,58.76286316,58.48616409,50.52651215,50.19488907,53.32641602,51.85170746,60.91340637,60.50181198,52,51.03365707,44,41.75524902,3
GGM107,01-12-2024 10:00,01-12-2024,GGM107,310.7956543,227.4600067,-134.3994293,3.680000067,8.300000191,5.502078533,37.92256165,51.291996,51.02024078,58.2550621,57.80786514,50.34034729,50.05177689,52.35944366,51.54231644,60.27427292,59.7598114,53,49.4741745,45,40.81972504,3
